;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;415675,3896000014;31772,10902711524;6222,1312272602;166270,15584000057;95830,36139999975;230930,7720000008;321209,9360999992;135100,41060000105;417067,52550000045
2;571675,3896000014;37149,97944218222;7007,510880433021;213070,15584000057;95830,36139999975;230930,7720000008;314211,35179348267;135100,41060000105;417067,52550000045
3;727675,3896000014;41078,28273690516;7436,275149545894;259870,15584000057;95830,36139999975;230930,7720000008;297577,0511278349;135100,41060000105;417067,52550000045
4;883675,3896000014;44383,150135346776;7761,298428488441;306670,1558400006;95830,36139999975;230930,7720000008;282892,49751555786;135100,41060000105;417067,52550000045
5;1039675,3896000014;47196,41124081201;8038,697529104037;353470,1558400006;95830,36139999975;230930,7720000008;270029,6861317258;135100,41060000105;417067,52550000045
6;1195675,3896000013;49226,85009030285;8315,815828206343;400270,1558400006;95830,36139999975;230930,7720000008;260431,67753803515;135100,41060000105;417067,52550000045
7;1351675,3896000013;50290,81444373302;8480,00099479488;447070,1558400006;95830,36139999975;230930,7720000008;255742,76934685127;135100,41060000105;417067,52550000045
8;1507675,3896000013;50953,85265606273;8587,071310258838;493870,1558400006;95830,36139999975;230930,7720000008;253033,7745254081;135100,41060000105;417067,52550000045
9;1663675,3896000013;51363,95972404478;8653,96354147495;540670,1558400006;95830,36139999975;230930,7720000008;251549,41616912367;135100,41060000105;417067,52550000045
10;1819675,3896000013;51741,71265049115;8696,66419468891;587470,1558400006;95830,36139999975;230930,7720000008;250017,99490386626;135100,41060000105;417067,52550000045
11;1975675,3896000013;51976,80783483014;8722,25183021139;634270,1558400006;95830,36139999975;230930,7720000008;249167,87697672183;135100,41060000105;417067,52550000045
