;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
1;360252,00432000123;15569,52224659907;3929,7670909011854;108075,60129600037;95830,36139999975;230930,7720000008;321209,9360999992;135100,41060000105;417067,52550000045
2;480252,00432000123;18966,071982430847;4425,796345536647;132075,60129600036;95830,36139999975;230930,7720000008;314211,35179348267;135100,41060000105;417067,52550000045
3;600252,0043200012;21447,105642255847;4696,594831292142;156075,60129600036;95830,36139999975;230930,7720000008;297577,0511278349;135100,41060000105;417067,52550000045
4;720252,0043200012;23534,390314955843;4901,872691676909;180075,60129600036;95830,36139999975;230930,7720000008;282892,49751555786;135100,41060000105;417067,52550000045
5;840252,0043200012;25311,186802618096;5077,072123644653;204075,60129600036;95830,36139999975;230930,7720000008;270029,6861317258;135100,41060000105;417067,52550000045
6;960252,0043200012;26593,56923387545;5252,094207288215;228075,60129600036;95830,36139999975;230930,7720000008;260431,67753803515;135100,41060000105;417067,52550000045
7;1080252,0043200012;27265,546720252383;5355,790101975715;252075,60129600036;95830,36139999975;230930,7720000008;255742,76934685127;135100,41060000105;417067,52550000045
8;1200252,0043200012;27684,30769646063;5423,413459110843;276075,60129600036;95830,36139999975;230930,7720000008;253033,7745254081;135100,41060000105;417067,52550000045
9;1320252,0043200012;27943,322686765085;5465,66118408944;300075,60129600036;95830,36139999975;230930,7720000008;251549,41616912367;135100,41060000105;417067,52550000045
10;1440252,0043200012;28181,903482415473;5492,63001769826;324075,60129600036;95830,36139999975;230930,7720000008;250017,99490386626;135100,41060000105;417067,52550000045
11;1560252,0043200012;28330,384651471653;5508,7906296071915;348075,60129600036;95830,36139999975;230930,7720000008;249167,87697672183;135100,41060000105;417067,52550000045
